"Name","id","Last Updated","Phone","Website/Social Media","Neighborhood","Category","Latitude","Longitude","Address","Notes","Sub-Category","Zipcode","Created time","Status","Donate","Source","Hours","Pickup Offered","Delivery Offered","Special Accommodation Hours","Delivery/Pickup Notes","MWBE","Instagram","Email","SNAP/EBT","WIC","Delivery Apps","Type of Service","Black Owned Business"
"No. 1 Laundromat",648,,"(718) 472-2544",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.743624,-73.918722,"4344 46th St, Sunnyside","
",,"11104","2020-05-29T17:32:14.000Z","Follow-up",,,,,,,,,,,,,,,
"Diamond Dry Cleaners and Laundromat",649,,"(718) 752-0352","http://www.sunnysideshines.org/business/diamond-dry-cleaner-and-laundromat","Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.743678,-73.919345,"4347 45th St, Sunnyside","
",,"11104","2020-05-29T17:32:14.000Z","Open",,,"Closed Thursday. Friday thru Wednesday 7AM-7PM. Last wash is 5PM.
",,,,,,,,,,,,
"DCH Laundromat",650,,"(646) 708-0688",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.7394,-73.919599,"45-17 48th St, Woodside","
",,"11377","2020-05-29T17:32:14.000Z","Follow-up",,,,,,,,,,,,,,,
"Skillman Laundry Center",651,,,,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.746142,-73.915678,"48-12 Skillman Ave, Long Island City"," (Call for updates!)
",,"11104","2020-05-29T17:32:14.000Z","Follow-up",,,"Posted hours 7am-5pm
",,,,,,,,,,,,
"Snow White Laundry",652,,"(718) 478-3480",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.744348,-73.915436,"49-02 43rd Ave, Flushing, NY 11377","
",,"11377","2020-05-29T17:32:14.000Z","Open",,,"Open daily 8am-6pm - 
",,,,,,,,,,,,
"64 Woodside Laundromat",653,"2020-04-16T04:00:00.000Z","(718) 505-1217",,"Woodside","Laundromat & Cleaners",40.743611,-73.900278,"6414 Woodside Ave, Woodside","Call for hours
",,"11377","2020-05-29T17:32:14.000Z","Follow-up",,,,,,,,,,,,,,,
"Quality Laundrette",654,"2020-05-05T04:00:00.000Z","(917) 669-7571",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.7461623,-73.9134667,"50-21 Skillman Ave, Flushing","Call 917-669-7571
",,"11377","2020-05-29T17:32:14.000Z","Follow-up",,,,,,,,,,,,,,,
"50-02 Laundromat",655,"2020-04-16T04:00:00.000Z",,,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.74597,-73.914185,"50-02 Skillman Ave, Flushing","Open, hours uncertain - Call to confirm (718) 440-2930
",,"11377","2020-05-29T17:32:14.000Z","Follow-up",,,,,,,,,,,,,,,
"H Laundromat",656,,,,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.742093,-73.925094,,"
",,"11104","2020-05-29T17:32:14.000Z","Closed",,,,,,,,,,,,,,,
"Sunnyside Laundromat",657,,"(718) 729-2077",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.740121,-73.925418,"3937 48th Ave, Sunnyside","
",,"11104","2020-05-29T17:32:14.000Z","Closed",,,,,,,,,,,,,,,
"14th Laundry",658,"2020-04-17T04:00:00.000Z","(718) 726-0724","http://14thlaundry.com/","Old Astoria","Laundromat & Cleaners",40.769143,-73.931045,"3067 14th St, Astoria","Call for hours
",,"11102","2020-05-29T17:32:14.000Z","Closed",,,,,,,,,,,,,,,
"Lemon Laundry",659,"2020-04-12T04:00:00.000Z","(917) 832-7407","http://www.lemonlaundromat.com/","Woodside","Laundromat & Cleaners",40.747444,-73.903109,"60-11 39th Ave, Queens","9am-5pm daily, drop-off only, wash and dry only (no folding) <http://lemonlaundromat.com>
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Eleven Laundromat",660,"2020-04-16T04:00:00.000Z",,,"Woodside","Laundromat & Cleaners",40.744034,-73.906844,"41-19 58th St, Woodside","Closed at this time
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Kew Kingsize Laundromat",661,"2020-04-18T04:00:00.000Z",,,"Kew Gardens","Laundromat & Cleaners",40.709434,-73.829334,"80-59 Lefferts Blvd, Kew Gardens","Open Sunday, Monday, Wednesday, and Friday 12pm-6pm (last wash at 4pm, no folding permitted inside)
",,"11415","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"New Grant Cleaners",662,"2020-04-18T04:00:00.000Z","(718) 846-6226",,"Kew Gardens","Laundromat & Cleaners",40.706909,-73.833867,"11833 Metropolitan Ave, Kew Gardens","open Monday to Saturday 9am-5pm
",,"11415","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Woodside Laundromat",663,"2020-04-28T04:00:00.000Z","(718) 396-1001",,"Woodside","Laundromat & Cleaners",40.747044,-73.902548,"6104 39th Ave, Flushing","Open until 6pm Call first 718-396-1001
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"David's Cleaners",664,,"(718) 544-7500","http://abcrug.net/","Kew Gardens Hills","Laundromat & Cleaners",40.726813,-73.822148,"7142 Main St, Flushing",,,"11367","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Nan Yang Laundromat",665,"2020-04-19T04:00:00.000Z",,,"Bayside-Bayside Hills","Laundromat & Cleaners",40.767694,-73.790559,"32-63 Francis Lewis Blvd, Flushing","Open on Weekends only:  7am - 8:30pm Call (646) 309-0093
",,"11358","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"192 Laundromat",666,"2020-05-02T04:00:00.000Z","(718) 578-9598",,"Auburndale","Laundromat & Cleaners",40.759689,-73.789875,"40-48 192nd St, Flushing","Last Wash 4pm; 6pm Close
",,"11358","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Auburndale Laundromat",667,"2020-04-19T04:00:00.000Z",,,"Auburndale","Laundromat & Cleaners",40.763326,-73.786743,"3624 Francis Lewis Blvd, Flushing","Due to COVID-10 Store hours have been changed.  Call Shao Chun Guan  347-761-4487
",,"11358","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Greenway Cleaner",668,"2020-04-19T04:00:00.000Z",,,"Auburndale","Laundromat & Cleaners",40.76334,-73.786798,"3622 Francis Lewis Blvd, Flushing","Monday - Saturday 9am - 5pm 718-354-4890
",,"11358","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"A & A Cleaners & Laundry",669,"2020-05-04T04:00:00.000Z","(718) 651-6332",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.7461931,-73.9130397,"51-5 Skillman Ave, Woodside","Call 718-651-6332 | 51-5 Skillman Ave Woodside
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Bands Cleaners",670,"2020-05-06T04:00:00.000Z","(718) 392-6342",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.7448317,-73.9187583,"45-14 43rd Ave, Sunnyside","Call 718-392-6342 Mon-Sat 9AM-6PM
",,"11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Family Laundry",671,"2020-05-21T04:00:00.000Z",,,"Woodhaven","Laundromat & Cleaners",40.692327,-73.858276,"85-20 Jamaica Ave, Woodhaven","(347)-224-5331 Open 24/7
",,"11421","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Florence Cleaners",672,"2020-05-21T04:00:00.000Z","(718) 441-7688",,"Woodhaven","Laundromat & Cleaners",40.692636,-73.859974,"84-29 Jamaica Ave, Jamaica","718-441-7688
",,"11421","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Forest Park Laundromat & Cleaners",673,"2020-05-21T04:00:00.000Z",,,"Woodhaven","Laundromat & Cleaners",40.6922104,-73.8608836,"80-42 Jamaica Ave, Woodhaven","7AM-8:30PM All Days
",,"11421","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Pacific dry cleaners",674,"2020-05-21T04:00:00.000Z","(347) 279-9109",,"Woodhaven","Laundromat & Cleaners",40.692215,-73.863144,"79-03 Jamaica Ave, Woodhaven","(718)-296-2819 8AM-8PM All Days
",,"11421","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Wash-Dry Around the Clock Inc",675,"2020-05-21T04:00:00.000Z","(718) 296-6466",,"Woodhaven","Laundromat & Cleaners",40.6920872,-73.8638731,"7807 Jamaica Ave, Jamaica","(718) 296-6466 Mon-Fri 7:30am-10pm Sat-Sun 7:30am-10pm
",,"11421","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Parrot Coffee & Grocery",676,"2020-04-11T04:00:00.000Z","(718) 392-4515","http://parrotcoffee.com/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.743501,-73.918809,"4515 Queens Blvd, Sunnyside","8am-10pm Daily, Groceries & prepared food 718-392-4515  [www.parrotcoffee.com/][1]

  [1]: http://www.parrotcoffee.com/
","Supermarket","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"CTown Supermarkets",677,"2020-05-04T04:00:00.000Z","(718) 520-0679","https://locations.ctownsupermarkets.com/ctown-supermarkets-f47b6ee4fe61?utm_source=Google&utm_medium=organic&utm_campaign=Yext","Rego Park","Groceries",40.7287749,-73.8628252,"94-06 63rd Dr, Queens","
","Supermarket,food","11374","2020-05-29T17:32:14.000Z","Open",,,,,,,,,,,,,,,
"Key Food Supermarkets",678,"2020-05-04T04:00:00.000Z","(718) 275-6913","https://www.keyfood.com/","Rego Park","Groceries",40.7275261,-73.863814,"92-02 63rd Dr, Flushing","
","Supermarket,food","11374","2020-05-29T17:32:14.000Z","Open",,,,,,,,,,,,,,,
"Fresh Value Marketplace",679,"2020-05-04T04:00:00.000Z","(718) 997-8900","http://www.freshvaluemarketplace.net/","Rego Park","Groceries",40.7296667,-73.8628333,"9507 63rd Dr, Rego Park","
","Supermarket,liquor_store,food,health","11374","2020-05-29T17:32:14.000Z","Open",,,,,,,,,,,,,,,
"Netcost Market",680,"2020-05-04T04:00:00.000Z","(718) 459-4400","http://www.netcostmarket.com/","Rego Park","Groceries",40.7288889,-73.86,"97-10 Queens Blvd, Rego Park","
","Supermarket,food","11374","2020-05-29T17:32:14.000Z","Open",,,"General 10am–7:30pm
",,,"Seniors 8am – 10am ",,,,,,,,,
"Bayside Milk Farm",681,,"(718) 225-0050","http://www.baysidemilkfarm.com/","Bayside-Bayside Hills","Groceries",40.7685474,-73.7731793,"35-15 Bell Blvd, Bayside","718-225-0050  Shop & Delivery  M-F 8-9 Sat 8-7 & Sun 8:30-7 Order online baysidemilkfarm.com
","Supermarket,food","11361","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Sunnyside Gardens Market",682,"2020-04-13T04:00:00.000Z","(718) 937-9301",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.746695,-73.917809,"46-01 Skillman Ave, Sunnyside","7am-1am daily, Call ahead 718-937-9301 (not open 24 hrs at this time)
","food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Natural 7",683,,,,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.743619,-73.919249,,"Pickup Only 718-478-8880
",,"11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Sunnyside Fish Market",684,"2020-04-13T04:00:00.000Z","(718) 392-3316",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.743614,-73.919939,"2405 4415, Queens Blvd, Long Island City","718-392-3316 TAKEOUT
","food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Turkiyem Market",685,"2020-04-13T04:00:00.000Z","(718) 937-3456",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.746626,-73.917182,"46-31 Skillman Ave, Long Island City","718-937-2456 TAKEOUT & DELIVERY / Now offering free grocery packages & delivery for the elderly 70 years and older. Please visit or call to inquire.
","convenience_store,Supermarket,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Butcher Block",686,"2020-05-11T04:00:00.000Z","(718) 784-1078",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.744206,-73.923418,"43-46 41st St, Queens","Daily until 7pm TAKEOUT & DELIVERY call ahead 718-205-4299 / grocery market butcher beer prepared foods & imported Irish & British Isles products / msg: ""We will now close at 7 pm every evening. This will allow for restocking of shelves and for added cleaning and sanitation efforts, which will continue throughout the day. We are thankful to be able to continue to serve our community and are grateful to our customers who continue to support us.""
","restaurant,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Green Valley Marketplace",687,"2020-04-14T04:00:00.000Z","(718) 752-1931","http://greenvalleymarketplace.instacart.com/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.740022,-73.923633,"44-07 Greenpoint Ave, Sunnyside","718-205-4299 TAKEOUT & ONLINE SHOPPING FOR DELIVERY with Instacart <https://greenvalleymarketplace.instacart.com/> Updates [www.instagram.com/p/B-IZDyrDQIr/][1] (and HIRING cashiers and deli clerks; call or visit to apply) Grocery Market Produce Beer Deli

  [1]: http://www.instagram.com/p/B-IZDyrDQIr/
","Supermarket,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Go Natural Health Food & Juice Bar",688,"2020-04-14T04:00:00.000Z","(718) 482-0008",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.743556,-73.919334,"45-03 Queens Blvd, Sunnyside","temporarily closed will REOPEN on Sun 4/19 Call & 718-482-0008  Updates  <https://www.instagram.com/p/B-xRR57jdqR/>
","food,health","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"La Adelita de Woodside",689,"2020-04-16T04:00:00.000Z","(917) 396-1295","www.facebook.com/LaAdelitanyc","Woodside","Groceries",40.744888,-73.910762,"5321 Roosevelt Ave, Woodside","Rancheros Eggs, Tamales
","bakery,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,"Yes (Call ahead)","Yes (Call for delivery)",," (917) 396-1235 
",,,,,,,,
"C-Town Supermarkets",690,,"(718) 784-8420",,"North Corona","Groceries",40.74896,-73.863289,,"
","Supermarket","11368","2020-05-29T17:32:14.000Z",,,,,"Yes","Yes",,,,,,,,,,
"La Vienesa Bakery",691,"2020-05-18T04:00:00.000Z","(718) 786-2924",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.743542,-73.924636,"39-44 Queens Blvd, Sunnyside","7am-4pm pickup & takeout  718-786-2924 | 39-44 Queens Blvd Sunnyside [www.instagram.com/p/CAT0hm3jjRM/][1]

  [1]: http://www.instagram.com/p/CAT0hm3jjRM/
","bakery,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Sunnyside Deli",692,,"(718) 429-0280",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.748633,-73.913278,"5012 39th Ave, Flushing","[CLOSED at this time]
","food","11377","2020-05-29T17:32:14.000Z","Open",,,,,,,,,,,,,,,
"Mary's Deli Grocery",693,"2020-04-16T04:00:00.000Z","(718) 651-5577",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.746173,-73.912492,"51-19 Skillman Ave, Flushing","Currently open 7am to 9 or 10pm 

","Deli","11377","2020-05-29T17:32:14.000Z","Open",,,,,,,,,,,,,,,
"Sunnyside Mini Mart",694,"2020-04-16T04:00:00.000Z",,,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.746192,-73.916041,,"
",,"11104","2020-05-29T17:32:14.000Z","Open",,,"Open daily 8am-2am
",,,,,,,,,,,,
"Fresh N Save",695,"2020-05-05T04:00:00.000Z","(718) 651-9720","http://www.keyfood.com/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.745828,-73.913725,"50-18 Skillman Ave, Woodside","OPEN 24 HOURS Call (718) 651-9720
","Supermarket","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Food Bazaar",696,"2020-04-16T04:00:00.000Z","(347) 448-8860","http://www.foodbazaar.com/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.752376,-73.921264,"42-02 Northern Blvd, Long Island City","Open daily 7am-8am for Seniors only and daily 8am-8:30pm for all. Grocery Market Prepared Food Beer UPDATES [www.instagram.com/foodbazaarsupermarkets/][1] DELIVERY  [www.instacart.com/food-bazaar][2] HIRING! [www.foodbazaar.com/contact/employment-application][3]

  [1]: http://www.instagram.com/foodbazaarsupermarkets/
  [2]: http://www.instacart.com/food-bazaar
  [3]: http://www.foodbazaar.com/contact/employment-application
","Supermarket","11101","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Key Food @ Sunnyside Arch",697,"2020-04-16T04:00:00.000Z","(718) 706-6563","http://www.keyfood.com/pd/stores/NY/Sunnyside/Key-Food-1448/2D771264","Hunters Point-Sunnyside-West Maspeth","Groceries",40.742775,-73.918556,"4602 Queens Blvd, Sunnyside","OPEN DAILY/24HRS Grocery Market Prepared Food Produce Beer Deli - (718) 706-6563
","Supermarket","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Sunnyside Greenmarket",698,"2020-04-16T04:00:00.000Z","(212) 788-7900","https://www.grownyc.org/greenmarket/queens/sunnyside","Hunters Point-Sunnyside-West Maspeth","Groceries",40.747098,-73.921067,"Skillman Ave btwn 42nd &, 43rd Ave, Sunnyside","Saturdays 8am-3pm Check for weekly updates  at [www.grownyc.org/blog/schedule-changes][1] [All food scrap drop-off and clothing collection sites in NYC are closed until further notice]

  [1]: http://www.grownyc.org/blog/schedule-changes
","Greenmarket","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Taiyo Foods",699,"2020-04-16T04:00:00.000Z","(718) 392-2233","http://www.taiyonyc.com/index.php?route=common/home","Hunters Point-Sunnyside-West Maspeth","Groceries",40.741506,-73.921176,"45-08 44th St, Sunnyside","Daily 9am-6pm - Call to confirm (718) 205-4299 [www.taiyonyc.com][1]  <https://www.facebook.com/TAIYO.FOODS.SUNNYSIDE/>

  [1]: http://www.taiyonyc.com
",,"11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Sunny Grocery",700,"2020-04-16T04:00:00.000Z","(718) 937-6256","http://www.sunnygrocery.net/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.744806,-73.9185,"45-26 43rd Ave, Sunnyside","Daily 7am-9pm Fresh fruit & vegetables, meat & dairy, Turkish sucuk, pastirma, Anatolian cheese, coffee, bread & sweets [www.sunnygrocery.net][1]

  [1]: http://www.sunnygrocery.net
","Supermarket","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"H Mart | 한아름",701,"2020-04-16T04:00:00.000Z","(718) 446-0759","http://www.hmart.com/","Woodside","Groceries",40.745036,-73.904906,"59-18 Woodside Ave, Woodside","OPEN DAILY/24HRS For updates (and recipes!) visit [www.instagram.com/hmartofficial/][1] or call (718) 446-0759

  [1]: http://www.instagram.com/hmartofficial/
","Supermarket","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Bell Grocery & Deli",702,,"(718) 224-8532",,"Bayside-Bayside Hills","Groceries",40.768516,-73.773874,"35-12 Bell Blvd, Flushing","Pickup & Delivery 718-224-8532
",,"11361","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Woodside Deli",703,"2020-04-16T04:00:00.000Z","(718) 533-0153",,"Woodside","Groceries",40.74928,-73.909669,"38-45 Woodside Ave, Woodside","Daily 9am-9pm  - Call to confirm (718) 533-0153
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
"Woodside Candy Store",704,"2020-04-16T04:00:00.000Z","(718) 505-9271",,"Woodside","Groceries",40.744921,-73.904285,"6006 Woodside Ave, Queens","Open! Call first to confirm (718) 505-9271
","Candy","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,,,
